pillar,indicator,act,check,verdict,evidence,suggested_correction,Codex Verdict,Codex Confidence,Codex Review Reason,Codex Final Action
2,2.1,Financial Procedure Act (Act 61) 1957,B-non-official-source,ERROR,References cite commonlii.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep commonlii.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
2,2.1,Financial Procedure Act (Act 61) 1957,A-dead-link,ERROR,http://www.commonlii.org/my/legis/consol_act/fpa19571972252/ -> 403,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL is inaccessible from audit environment (403); likely bad for reproducibility, but confirm before labeling dead.",Confirm before claiming
2,2.1,Government Contracts Act (Act 120) 1949,B-non-official-source,ERROR,References cite tcclaw.com.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep tcclaw.com.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
2,2.1,Government Contracts Act (Act 120) 1949,A-dead-link,ERROR,https://tcclaw.com.my/wp-content/uploads/2020/12/GOVERNMENT-CONTRACTS-ACT-1949.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
2,2.2000000000000002,Financial Procedure Act (Act 61) 1957,B-non-official-source,ERROR,References cite commonlii.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep commonlii.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
2,2.2000000000000002,Financial Procedure Act (Act 61) 1957,A-dead-link,ERROR,http://www.commonlii.org/my/legis/consol_act/fpa19571972252/ -> 403,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL is inaccessible from audit environment (403); likely bad for reproducibility, but confirm before labeling dead.",Confirm before claiming
2,2.2000000000000002,Official Secrets Act No.88 1972,B-non-official-source,ERROR,References cite tcclaw.com.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep tcclaw.com.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
2,2.2000000000000002,Official Secrets Act No.88 1972,A-dead-link,ERROR,https://tcclaw.com.my/wp-content/uploads/2020/12/Official-Secrets-Act-1972.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
3,3.4,Ministerial Functions Act (Act 2) 1969,B-non-official-source,ERROR,References cite commonlii.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep commonlii.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
3,3.4,Ministerial Functions Act (Act 2) 1969,A-dead-link,ERROR,http://www.commonlii.org/my/legis/consol_act/mfa1969251/ -> 403,Replace with a live official link (format rules: broken links must be replaced),NEEDS HUMAN,Medium,"URL is inaccessible from audit environment (403); likely bad for reproducibility, but confirm before labeling dead.",Confirm before claiming
4,4.01,Patents Act (Act 291) 1983;  Patents (Amendment) Act (Act A1649) 2022,A-dead-link,ERROR,http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
4,4.2,Patents Act (Act 291) 1983;  Patents (Amendment) Act (Act A1649) 2022,A-dead-link,ERROR,http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
4,4.3,Patents Act (Act 291) 1983;  Patents (Amendment) Act (Act A1649) 2022,A-dead-link,ERROR,http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
4,4.5,Copyright Right Act (Act 332) 1987;  Copyright Right (Amendment) Act (Act A1645) 2022,A-dead-link,ERROR,http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
4,4.5999999999999996,Copyright Right Act (Act 332) 1987;  Copyright Right (Amendment) Act (Act A1645) 2022,A-dead-link,ERROR,http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
4,4.0999999999999996,Trade Descriptions Act (Act 730) 2011;  Criminal Procedure Code (Act 593) 2018,B-non-official-source,ERROR,References cite tcclaw.com.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep tcclaw.com.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
4,4.0999999999999996,Trade Descriptions Act (Act 730) 2011;  Criminal Procedure Code (Act 593) 2018,A-dead-link,ERROR,https://tcclaw.com.my/wp-content/uploads/2020/12/Trade-Descriptions-Act-2011-1.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
5,5.3,2023 Telekom Malaysia Financial Statements;  2023 CelcomDigi Financial Statements;  2023 M,E-timeframe-format,WARN,timeframe='Last review in October 2024',Use 'Since [Month Year]; last amended [Month Year]' per format rules,NEEDS HUMAN,Medium,"Likely formatting issue, but less legally substantive; confirm against organizer timeframe rules before scoring.",Confirm before claiming
5,5.3,2023 Telekom Malaysia Financial Statements;  2023 CelcomDigi Financial Statements;  2023 M,B-non-official-source,ERROR,References cite tm.listedcompany.com (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep tm.listedcompany.com only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
6,6.1,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
6,6.1,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
6,6.1,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,C-article-not-found,WARN,s. 129 not found in parsed text of Personal Data Protection(Amendment) Bill (Act A172 (have 14 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
6,6.2,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
6,6.2,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
6,6.2,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection Code of Practice fo,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
6,6.3,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection Code of Practice fo,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
6,6.4,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
6,6.4,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
6,6.4,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,C-article-not-found,WARN,s. 129 not found in parsed text of Personal Data Protection(Amendment) Bill (Act A172 (have 14 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
7,7.1,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
7,7.1,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
7,7.2,Computer Crimes Act (Act 563) 1997;  Cyber Security Act (Act 854) 2024,C-article-not-found,WARN,s. 15 not found in parsed text of Computer Crimes Act (Act 563) 1997 (have 10 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
7,7.2,Computer Crimes Act (Act 563) 1997;  Cyber Security Act (Act 854) 2024,C-article-not-found,WARN,s. 27 not found in parsed text of Computer Crimes Act (Act 563) 1997 (have 10 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
7,7.2,Computer Crimes Act (Act 563) 1997;  Cyber Security Act (Act 854) 2024,C-article-not-found,WARN,s. 36 not found in parsed text of Computer Crimes Act (Act 563) 1997 (have 10 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
7,7.3,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
7,7.3,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
7,7.4,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
7,7.4,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
7,7.5,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,D-bill-as-measure,ERROR,Acts column cites a Bill — drafts/bills are never recordable measures,Cite the enacted Act (e.g. PDP (Amendment) Act A1727 2024) or remove,SHIP,High,Master row cites a Bill/draft label as a measure; real methodology/source-quality error unless enacted status is separately corrected.,Use as scored audit finding
7,7.5,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,B-non-official-source,ERROR,References cite mohre.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep mohre.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
7,7.5,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,C-article-not-found,WARN,s. 45(2)(a)(i) not found in parsed text of Personal Data Protection(Amendment) Bill (Act A172 (have 14 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
7,7.5,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,C-article-not-found,WARN,s. 121 not found in parsed text of Personal Data Protection(Amendment) Bill (Act A172 (have 14 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
7,7.5,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,C-article-not-found,WARN,s. 112 not found in parsed text of Personal Data Protection(Amendment) Bill (Act A172 (have 14 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
7,7.5,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,C-article-not-found,WARN,s. 113 not found in parsed text of Personal Data Protection(Amendment) Bill (Act A172 (have 14 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
7,7.5,Personal Data Protection Act (Act 709) 2010;  Personal Data Protection (Amendment) Bill (A,C-article-not-found,WARN,s. 114 not found in parsed text of Personal Data Protection(Amendment) Bill (Act A172 (have 14 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
7,7.5,Cyber Security Act (Act 854) 2024,B-non-official-source,ERROR,References cite lokekinggoh.com (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep lokekinggoh.com only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
7,7.5,Cyber Security Act (Act 854) 2024,C-article-not-found,WARN,s. 46 not found in parsed text of Cyber Security Act (Act 854) 2024 (have 40 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
7,7.5,Cyber Security Act (Act 854) 2024,C-article-not-found,WARN,s. 38 not found in parsed text of Cyber Security Act (Act 854) 2024 (have 40 sections),Verify the article number against the current official text,NEEDS HUMAN,Medium,"Parsed corpus did not find the cited article, but extractor/cross-act matching can be incomplete; confirm against official text manually.",Confirm before claiming
7,7.5,Security Offences (Special Measures) Act (Act 747) 2012,B-non-official-source,ERROR,References cite cyrilla.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep cyrilla.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
7,7.5,Criminal Procedure Code (Act 593) 2018,B-non-official-source,ERROR,References cite cyrilla.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep cyrilla.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
8,8.1,Copyright Right Act (Act 332) 1987;  Copyright Right (Amendment) Act (Act A1645) 2022,A-dead-link,ERROR,http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
8,8.1999999999999993,The Malaysian Communications and Multimedia Content Code 2022,B-non-official-source,ERROR,References cite contentforum.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep contentforum.my only as archive,NEEDS HUMAN,Medium,"Source is not a domestic primary legal source, but the domain may be institutional/official-adjacent; confirm before accusing as error.",Confirm before claiming
8,8.1999999999999993,Copyright Right Act (Act 332) 1987;  Copyright Right (Amendment) Act (Act A1645) 2022,A-dead-link,ERROR,http://www.myipo.gov.my/wp-content/uploads/2016/09/PATENT-ACT-1983-ACT-291.pdf -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
9,9.1,Sedition Act (Act 15) 1948;   Sedition (Amendment) Act (Act A 1485) 2015,E-timeframe-format,WARN,timeframe='Since 1948;\n\nSince 2015',Use 'Since [Month Year]; last amended [Month Year]' per format rules,NEEDS HUMAN,Medium,"Likely formatting issue, but less legally substantive; confirm against organizer timeframe rules before scoring.",Confirm before claiming
9,9.1,Sedition Act (Act 15) 1948;   Sedition (Amendment) Act (Act A 1485) 2015,B-non-official-source,ERROR,References cite cyrilla.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep cyrilla.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
9,9.4,Communications and Multimedia Act (Act 588) 1998;  Malaysian Communications and Multimedia,B-non-official-source,ERROR,References cite vertic.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep vertic.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
10,10.1,Customs (Prohibition of Imports) Order P.U. (A) 117 2023;  Customs (Prohibition of Imports,A-dead-link,ERROR,https://www.customs.gov.my/en/pg/Customs%20Order/PU(A)%20117-%20Perintah%20Kastam%20(Laran -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
10,10.199999999999999,Customs (Prohibition of Imports) Order P.U. (A) 117 2023,A-dead-link,ERROR,https://www.customs.gov.my/en/pg/Pages/pg_prthkastam.aspx -> 404,Replace with a live official link (format rules: broken links must be replaced),SHIP,High,Reference URL is objectively broken/unreachable in the audit and should be replaced with a live official source.,Use as scored audit finding
10,10.199999999999999,Communications and Multimedia Act (Act 588) 1998;  Communications and Multimedia (Technica,B-non-official-source,ERROR,References cite vertic.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep vertic.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
10,10.199999999999999,Strategic Trade Act (Act 708) 2010;  Strategic Trade (Strategic Items) List 2023,B-non-official-source,ERROR,References cite umresearch.um.edu.my (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep umresearch.um.edu.my only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
10,10.3,Communications and Multimedia Act (Act 588) 1998,B-non-official-source,ERROR,References cite vertic.org (not an official portal),Cite lom.agc.gov.my / the issuing regulator; keep vertic.org only as archive,SHIP,High,Reference cites a non-official or mirror/private source instead of an official Malaysian legal/regulator source; safe source-quality correction.,Use as scored audit finding
